sentiment,article
0,"At 12.01 pm , the OMX Helsinki 25 was down 0.66 pct to 3,143.57 and the OMX Helsinki was 0.67 pct lower at 10,530.74 on 253 mln eur turnover ."
0,Pretax profit totaled EUR 4.9 mn compared to EUR 5.2 mn in the first quarter of 2005 .
0,"( ADP News ) - Feb 12 , 2009 - Finnish construction company Lemminkainen Oyj ( HEL : LEM1S ) said today its net profit decreased to EUR 63.5 million ( USD 81.1 m ) for 2008 from EUR 80.6 million for 2007 ."
1,About Stonesoft Corporation Stonesoft Corporation ( OMX : SFT1V ) is an innovative provider of integrated network security solutions to secure the information flow of distributed organizations .
1,"There are currently some ten shops selling Tikkurila 's paints in Kazakhstan , and more shops will be opened continuously ."
1,"Unbelievably , the company that makes them - Fiskars Corporation - was formed in 1649 when a Dutch merchant named Peter Thorwoste was given a charter to establish a blast furnace and forging operation in the small Finnish village of Fiskars ."
2,"`` After a long , unprofitable period the Food Division posted a profitable result , which speaks of a healthier cost structure and a new approach in business operations , '' Rihko said ."
1,"Metsa-Botnia will finance the payment of dividends , the repayment of capital and the repurchase of its own shares with the funds deriving from its divestment of the Uruguay operations , and shares in Pohjolan Voima , and by utilising its existing financing facilities ."
1,HELSINKI ( AFX ) - Outokumpu said it has agreed to sell the Hitura nickel mine in Finland to Canadian group Belvedere Resources Ltd for 10 mln eur worth of Belvedere shares .
1,Insurance policies should be simple .
1,EB will hold the exclusive rights to market the new entity 's product .
2,The diluted loss per share narrowed to EUR 0.27 from EUR 0.86 .
1,Finnish aluminium products manufacturer Nordic Aluminium Plc ( OMX Helsinki : NOA1V ) reported on Monday ( 18 August ) an operating profit of EUR7 .9 m on net sales of EUR55 .2 m for the period January-June 2008 .
1,"The first installment of the Cinema Series concludes with a profile of Finnish inventor Olavi Linden , whose personal artistic journey and work at Fiskars has led to dozens of design awards ."
2,"`` The margarine business has been put into good shape in the last two years , making it a natural addition to Bunge , which is looking to leverage its position in the Central and Northern European markets , '' Raisio CEO Matti Rihko said in a statement ."
1,BG Crane has a strong customer base in the on-road load handling and related installation and service businesses .
2,Lemcon signed an investment cooperation agreement with the Kaluga regional administration last November .
0,"Operating profit for the 12-month period decreased from EUR28 .2 m while net turnover increased from EUR313 .42 m , as compared to the financial year 2004 ."
1,`` Our Vaalipalvelu-service was especially developed for use by communities and organizations .
1,6 October 2010 - Finnish paints and coatings company Tikkurila Oyj HEL : TIK1V announced today the launch of Tikkurila ProHouse method for protection of wooden surfaces via treatment with Ultra Pro waterborne products .
1,"In the second quarter of 2009 , net sales through operator business partners represented 47 % of the Group 's total net sales ."
1,The purchase price was not disclosed .
1,As a consequence the Works Council had withdrawn its petition to suspend the reorganisation .
0,Finnish forest machinery manufacturer Ponsse has issued a profit warning .
1,"The facility will be used to refinance Citycon 's existing credit facility , the company said ."
2,UPM-Kymmene is working closely with its shipping agents to reduce fuel consumption and greenhouse gas emissions .
2,"Finnish software developer Basware Oyj said on November 30 , 2006 its U.S. subsidiary Basware , Inc. won an order to provide software for contract lifecycle management to an unnamed U.S. medical technology company ."
2,"The previously concluded adaptation measures concerning the other personnel are adequate for the time being , Raute said ."
1,Ulefos Group is the leading supplier of manhole covers in the Nordic countries .
2,"In the second quarter of 2010 , the group 's net profit rose to EUR 3.1 million from EUR 2.5 million in April-June 2009 ."
1,"NORDIC BUSINESS REPORT-17 January 2006-Efore Plc inaugurates new plant in Estonia -_ 1998-2006 M2 COMMUNICATIONS LTD Finnish power electronics manufacturer Efore Plc said on Tuesday ( 17 January ) that it was inaugurating its new plant in Parnu , Estonia ."
1,"Of course , you 'll have direct access to Nokia 's Ovi store , so you 'll have lots of fun downloading your favorite media ."
1,"Following the acquisitions , Panostaja will establish a new business unit which will focus on heat treatment of metals ."
1,"Shareholder 's full name and ID code : - Petri Ailus , born 15.9.1966 For further information , please contact Isto Hantila , CEO , tel. +358 9 591 8342 ."
1,"Cathay Forest 's strategy is to develop sustainable , regenerative forest assets ."
1,The Insolvency Act regulates the amount of debt that borrowers are permitted to write off .
1,Uponor maintains its full-year guidance for 2010 .
1,"- So , the sales growth of cars considerably influence on the tires market '' ."
1,"The dollar bounced back after hitting another record low against the euro , which reached $ 1.41 for the first time ."
1,"The major part of the deliveries include different AC and CXE amplifier solutions and products by DINH Telecom , a company acquired by Teleste last spring ."
2,The concept enables a commercially affordable way to manufacture high-quality TCO coated glass for the solar industry .
1,The total investment in 2006 and 2007 is expected to amount to about EUR75m .
1,To raise consumer awareness and encourage people to recycle their old mobile devices Nokia runs regular recycling campaigns around the world .
2,"EBIT excluding non-recurring items , totalled EUR 67.8 mn , up from EUR 38.1 mn ."
1,"CapMan said the deal 's effect on its cash flow for 2009 totals EUR3 .4 m , but the transaction would not affect its financial results for 2009 as it was executed at fair value ."
1,The amendment will not incur additional costs .
2,"Russian export duties will activate harvesting in Finland , and sales in Russia will increase also ."
2,"Both operating profit and turnover for the six-month period increased , respectively from EUR0 .1 m and EUR29 .0 m , as compared to the corresponding period a year ago ."
2,Operating profit totaled EUR 17.7 mn compared to EUR 17.6 mn in the corresponding period in 2007 .
1,The output of the contracts totals 72 MWe .
2,"Tieto was looking for an energy solution which would best support the idea of sustainable development , and we were happy to be able to provide such a solution , saysJouni Haikarainen , Vice President , Fortum ."
1,"Thus the group 's balance sheet will have about EUR 25.8 million of goodwill , the company added ."
2,"Profit after taxes for the period was up to EUR0 .9 m , from EUR0 .01 m last year ."
2,"Operating profit was EUR 11.07 mn , up from EUR 8.65 mn ."
1,Vacon will supply drives to Ruselprom in the power range from 200 kW up to 2 MW .
1,"This rating from A.M. Best is the highest among the CIS countries , Central and Eastern Europe ."
2,Sanoma Magazines Finland 's net sales grew to EUR 140.1 mn from EUR 131.8 mn .
1,The fair value of investment properties was EUR 2 251.0 ( 1 281.4 ) million .
1,Kirsi Rantanen was previously development director for HK Ruokatalo 's poultry business .
0,"Finnish financial software solutions developer BasWare Oyj said its net profit fell to 884,000 euro ( $ 1.2 mln ) for the first quarter of 2007 from 2.0 mln euro ( $ 2.7 mln ) a year earlier ."
1,Welcome !
0,Operating profit for 2009 lower than outlook published earlier .
1,"JVC will stop producing DVD players in Brazil : JVC do Brazil , a subsidiary of Japan 's JVC group announced it will stop the production of DVD players in Brazil ."
1,These module products will be available for trials during 3Q-07 and for volume deliveries during 4Q-07 .
2,Outokumpu 's chief executive Juha Rantanen expressed his confidence in China market .
1,"The Network Test Business is part of Elektrobit 's Test and Automation Business Segment and employs 39 people in Finland and 22 people abroad , mainly in the US and Asia ."
0,"In Q2 of 2009 , profit before taxes amounted to EUR 13.6 mn , down from EUR 26.8 mn in Q2 of 2008 ."
1,Part of the reductions will be made through retirement arrangements .
1,Electricity consumption grows with higher frequencies .
1,"Nokia said that its next generation mobile gaming platform makes it easy for people to find , buy , play and share rich and immersive games on a range of Nokia devices ."
1,It includes options for additional 30 communal building sites as well as construction supervision works for all construction sites .
2,The companies have agreed on long-term cooperation to mechanise harvesting in Stora Enso 's eucalyptus plantations in Southern China .
1,"The total floor area of the plant expansion is 29,000 square metres ."
1,The passenger tunnel is expected to be put into operation in 2009 .
2,Finnish metal industry solutions supplier Outotec Oyj net profit rose to 50.4 mln euro ( $ 72.5 mln ) for the first nine months of 2007 from 20.1 mln euro ( $ 28.9 mln ) for the same period of 2006 .
2,Also Lemmink+Æinen 's profit for accounting period went up to EUR 3.1 mn from EUR -24.5 mn a year ago .
1,"After piloting , the instrument will be further developed according to the experiences gained ."
1,"www.countryelements.co.uk Designed by Patricia Burt , this is just one of a selection of distinctive hooked rugs created with recycled materials and dyed natural dyes ."
2,"In addition to Russia , we now seek additional growth in Ukraine ."
1,"Rautalinko was resposnible also for Mobility Services , and his job in this division will be continued by Marek Hintze ."
2,Viking Line manages well with its current ferries .
2,"Kesko Agro Lietuva , the agricultural machinery and grain trader and another member of the Kesko Group , boosted its sales by 42.9 percent to 13.4 million euros , VAT inclusive ."
1,"GS Engineering will install the valves at a liquefied natural gas LNG plant it has built for UAE LNG extraction and gas plants operator GASCO in Ruwais , UAE ."
0,"The period 's sales dropped to EUR 30.6 million from EUR 38.3 million , according to the interim report , released today ."
2,"`` The priority for 2009 was to strengthen the company 's balance sheet and increase cash flow , '' CEO Hannu Krook said ."
1,"The device can also be used for theft protection and positioning of vehicles , boats and other assets ."
0,"The one dark spot on the horizon , however , was the company 's performance in the Finnish bottled water market ."
2,"Marimekko has today ( 20 November ) signed a license agreement with the Swedish chain , whereby Marimekko will license some of its popular patterns from the 1950s , 1960s and 1970s to H&M ."
1,"Panostaja owns a 68.77 pct of share capital and the voting rights of Suomen Helasto shares following an exchange of shares which was carried out on May 30 , 2007 ."
2,"In addition to the demand in Finland , the export of lining stone products also increased ."
2,Sponda Plc Stock Exchange Release 5 December 2006 at 15.45 EUR 1.5 BILLION SYNDICATED CREDIT FACILITY FOR SPONDA Sponda has signed an agreement for a one-year syndicated credit facility for a total of EUR 1.5 billion .
1,"In his current position , Manty has worked since 1996 ."
1,Competition authorities will have to approve the deal before it can be finalized .
1,"OTHER  North-Rhine Westphalia - Is to issue a benchmark , 5 year fixed rate deal in Euros ."
1,Pharmaceuticals - Belgium This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Belgium .
2,"This is Done Logistics ' largest order in Norway , the diversified group said ."
1,"ALEXANDRIA , Va. , July 11 -- Hannu Kahonen of Juuka , Finland , has developed an ornamental design for a handle for fire pit door , the U.S. Patent & Trademark Office announced ."
1,"So , at the present time Nokian tires had the contract of tires production in China ."
1,"Also , CBA is to issue a benchmark , 10 year fixed rate deal in Euros ."
1,"In 2007 , Etteplan had turnover of EUR125 .2 m."
1,"The company will also shut one paper machine in Finland and one in Austria , as well as two label paper machines in Finland for up to 10 months , Helsinki-based UPM said yesterday ."
1,"The acquisition was financed with $ 2.56 billion of debt arranged by Goldman , Sachs & Co. ."
1,"Following the registration , the number of issued and outstanding shares of Basware is 12,890,829 ."
1,"Some 250 people , of whom more than 200 are workers , will be retiring from the Raahe Works between 2008 and 2011 ."
2,"The restructuring creates a more efficient organization with increased operational focus and stable profitability , and leads to more efficient production , said Bo Annvik , head of Specialty Stainless ."
1,"Last year , the firm also acquired Realprojekti Oy , a real estate development company , to advise CapMan on its property activities ."
1,Cargotec 's business areas also include the container handling solutions business area Kalmar and the marine cargo handling and offshore load handling solutions business area MacGREGOR .
1,UNC Charlotte would also deploy SSH Tectia Connector to enable secure application connectivity .
1,This corresponds to 6.81 percent of Okmetic 's share capital and voting rights .
1,Wellness services will be important in the future .
1,The order also includes extensive maintenance work of a shoe press delivered by Vaahto in 2001 .
0,"As capacity was cut with 1.4 % , the passenger load factor was down 7.8 percentage points ."
1,The fair value of CapMan Plc 's own investments on 30 September 2008 amounted to MEUR 59.8 .
1,Nokia is requesting that the companies stop making and selling the mobile phones and pay monetary damages and costs .
1,"The size of the extension , 18.5 % of which already has been let , will have a gross area of about 2,830 sq m 30,460 sq ft ."
1,"`` The summer collection 2008 will be joyfully fresh like a vitamin injection , '' said H&M 's head of design Margareta van den Bosch ."
2,`` Residentialconstruction in particular has picked up in several markets .
1,The order is included in Metso 's fourth quarter 2007 order backlog .
1,"Following the transaction , Tulikivi restructured its operations into the Soapstone Fireplaces Business , Natural Stone Product Business and Ceramic Products Business units ."
1,Lieksaare Oy has earlier been regarded under the control of Saarelainen Oy and the individual shareholders under the shareholder agreement .
1,"Finnish L&T Recoil , a company specialising in used oil regeneration , is building a facility in Hamina in Finland in 2008 ."
1,"Our customers include companies in the energy and process industry sectors , in particular ."
1,M-real plans to discontinue production of standard coated fine paper in the Hallein and Gohrsm++hle mills .
2,The shopping center will have a prime location right next to the Myllypuro metro station .
2,"Both operating profit and sales for the three-month period increased , respectively from EUR0 .3 m and EUR13 .1 m , as compared to the corresponding period in 2005 ."
2,DMASIA-16 August 2006-Benefon extends manufacturing capability with ASMobile -_ 2006 Digitalmediaasia.com & DMA Ltd. .
2,"Renzo Piano 's building design will be a wonderful addition to London 's skyline , '' says Noud Veeger , EVP and Area Director for Central and North Europe at KONE ."
1,"mr Bakman sees also expansion options on the Tallinn-Helisnki link , claiming however , that operating the link with only a single ship is not enough ."
2,Biohit already services many current Genesis customers and the customer base is expected to expand as a result of this agreement .
1,"The development of the technological park , which will specialize in telecommunications and information technologies , is part of the state program for the formation of technoparks for hi-tech sectors in Russia ."
2,"`` QPR 8 integrated management system is the fastest , easiest and most efficient way for organizations all around the world to take control of their human-centric business processes ."
1,Nokia and Capcom announced that Resident Evil Degeneration will be released on N-Gage later this year .
0,"Operating profit , excluding non-recurring items , totalled EUR 2.2 mn , down from EUR 2.7 mn in the corresponding period in 2008 ."
1,"`` We have come out with a decision which is based on our preliminary economic , operational and environmental findings , '' Karvinen said ."
1,"The broker started UPM-Kymmene , Stora Enso and Sappi with ` equal-weight ' recommendations and Holmen and Norske Skog with ` underweight ' ratings ."
2,"The company 's scheduled traffic , measured in revenue passenger kilometres RPK , grew by just over 2 % and nearly 3 % more passengers were carried on scheduled flights than in February 2009 ."
1,Recently the company decided to build a second identical plant at the same site due to be commissioned toward the end of 2008 .
2,Diluted earnings per share ( EPS ) rose to EUR 1.05 from EUR 0.64 .
1,"The inventors are Mukkavilli Krishna Kiran , Sabharwal Ashutosh and Aazhang Behnaam ."
2,The new technology improves the glass quality and consistency while increasing throughput .
1,"The final price will be specified by 14 May 2010 , the acquiring company said ."
2,"Meanwhile , Nokia said that it will be able to deliver a complete range of services from deployment operations to consulting and integration to managed services as a result of the buyout ."
1,"Following the registration , the share capital of Biotie is EUR 52,556,678.10 ."
1,"Neste Oil extended yesterday 's gains and put on 0.49 pct to 22.72 eur , while utility Fortum shed 1.14 pct to 20.76 eur ."
1,An appeal concerning the project has been lodged at the Czech Ministry of the Environment .
1,"In 2008 , AVC Systemhaus had net sales of EUR 10 million USD 7.1 m ."
1,"A coker crane will be supplied to Tesoro Corporation 's Golden Eagle Refinery in Martinez , California , while a similar crane will be delivered to BP 's Castell refinery in Spain ."
1,Why put up costly cell phone towers in thinly populated areas when a few balloons would do ?
2,"By cutting the number of plants , the group will trim fixed costs ."
2,The new policy was also aimed at making the companies more profitable and competitive .
1,"The Point Village , designed by Scott Tallon Walker , will include a shopping center , office premises , a hotel and a cinema ."
1,"Its annual capacity is some 10,000 MW ."
1,Vianor sells tires for cars and trucks as well as a range of other car parts and provides maintenance services .
2,HELSINKI AFX - KCI Konecranes said it has won an order for four hot metal ladle cranes from Indian steel producer Bhushan Steel and Strips Ltd. .
1,Bertrand Sciard has been the vice chairman of the board of directors of Aldata Solution since April 2007 .
1,`` With this new version it is very important for us to introduce a BIM process that is based on the detailed building information model .
2,Finnish pharmaceuticals company Orion 's net sales rose to EUR 190mn in the first quarter of 2009 from EUR 180mn in the first quarter of 2008 .
1,The report will be emailed within 2 business days of an order .
2,"Speaking to just-drinks today , a spokesperson for Olvi said : `` We have performed very well in all four countries we operate in - namely , Finland , Estonia , Latvia and Lithuania . ''"
1,"Marubeni has participated in GHG - Green House Gas - emission reduction projects overseas , obtained emissions credit from its projects and has provided these to Japanese clients ."
1,Among the biggest Christmas sellers were a  35 satin bow shift dress styled on outfits worn by Victoria Beckham and a  75 Paris Hilton Prom dress .
1,"Kesko has about 2,000 stores engaged in chain operations in the Nordic and Baltic countries , Russia , and Belarus ."
2,"Finnish lifting equipment maker Konecranes Oyj said on July 30 , 2008 that its net profit rose to 71.2 mln euro ( $ 111.1 mln ) for the first half of 2008 from 57.1 mln euro ( $ 89.1 mln ) for the same period of 2007 ."
1,"561,470 new shares under 2003 option rights plan Packaging company Huhtamaki Oyj reported on Monday that a total of 561,470 new shares of the company have been issued based on share subscriptions under its 2003 option rights plan ."
0,Net sales fell by 5 % from the previous accounting period .
1,"Tekla 's software solutions make customers ' core processes more effective in building and construction , energy distribution , infrastructure management and water supply ."
1,"In stead of being based on a soft drink , as is usual , the Teho energy drink is made with fresh water ."
1,Cameco is to provide an upfront investment of up to USD 60mn for the construction of the uranium extraction circuit .
1,"After the sale , Outokumpu 's share of the technology unit will be reduced to some 12-20 percent ."
1,"In January-September 2007 , operating profit totaled EUR 20.5 mn ."
1,"Von Koskull will oversee a new unit of Nordea , which brings together corporate merchant banking , financial institutions and capital markets products divisions ."
2,The stock of new machines is reasonably small and new orders bring work .
1,"In addition , MIDs are always online and enable full Internet browsing ."
1,"Operating profit for the six-month period decreased from EUR111 .9 m , while sales increased from EUR1 ,275 m , as compared to the corresponding period in 2006 ."
1,"The company reported a profit of 800,000 euro ($ 1.2 mln)on the sale of its Varesvuo Partners sub-group and a loss of 400,000 euro $ 623,000 caused by the sale of its program production subsidiary Oy Filmiteollisuus Fine Ab ."
1,Finnish construction company YIT HEL : YTY1V said it had agreed to take over German facility engineering and facility systems firm Caverion for EUR73m USD90 .3 m .
1,Aspo 's Group structure and business operations are continually developed without any predefined schedules .
1,"It also includes the installation of new equipment , training and start-up services , as well as service work of the shoe press delivered by Vaahto in 2001 ."
0,"In the third quarter of fiscal 2008 Efore swung to a net loss of EUR 400,000 versus a net profit of EUR 200,000 for the corresponding period of fiscal 2007 ."
1,`` We want to serve K-citymarket customers by offering them interesting and topical selections .
1,Fortum also has a blocking stake in Northwestern TGK-1 .
1,"Through its partnership with Finnish Paulig 's Danish subsidiary Oscar , Puljonki acquired a sales organization in the European market ."
1,"Under the contract , Ericsson will more than double the number of radio base stations in the Elisa network over the coming year ."
1,`` Our aim is to understand different traffic patterns based on the use of each building .
2,He also mentions that this improvement to the service follows the recent expansion of the Finnlines service from Bilbao via Antwerp and Helsinki and from Hull via Helsinki to St. Petersburg .
1,"PA ) , JPMorgan Chase and Co ( NYSE : JPM ) and Pohjoa Bank are joint lead-managers on the senior , unsecured deal ."
1,"The orange-handled scissors from Fiskars are part of the permanent design collection of the Museum of Modern Art in New York , as well as the Philadelphia Museum of Art ."
1,"The contract incorporates a Convergent Charging rating solution for voice and data , which includes Internet , GPRS , SMS , MMS and WAP ."
1,"Seventy-three of those also have more extensive training in products built on the latest ArchestrA technologies , such as the Wonderware System Platform ."
2,"Finnish silicon wafers manufacturer Okmetic Oyj said on June 29 , 2007 it signed an agreement with Nordea Bank Finland Plc , the local subsidiary of Swedish commercial bank Nordea Bank AB , which will refinance Okmetic 's syndicated bank facility which amounts to some 20 mln euro ( $ 26.9 mln ) ."
2,"There has been some recovery of the base metals prices and increased demand for metals in China , however ."
0,"Outokumpu 's steel mill in Tornio , in Finland , is the suspected source ."
1,The corrected chapter is in its entirety below .
1,"The equipment will be made at Vaahto 's plant in Hollola in Finland , and delivery is scheduled for the first quarter of 2009 ."
1,4 February 2011 - Finnish privacy and security software developer Tectia Oyj ( HEL : TEC1V ) said Wednesday it has set up two strategic business units - managed security and mobile authentication .
0,"According to Scanfil , demand for telecommunications network products has fluctuated significantly in the third quarter of 2006 , and the situation is expected to remain unstable for the rest of the year ."
2,The offer represents a premium of 24 % over the stock 's closing price on Friday .
0,"According to the company , in addition to normal seasonal fluctuation the market situation has weakened during autumn 2008 ."
2,"In the Asia-Pacific region , Visa Wave is available in Malaysia , Taiwan and South Korea and will be expanded to Japan and Southeast Asia this year , Jung added ."
0,Net sales fell by 33 % from the third quarter of 2008 to EUR 130.5 mn .
2,"narrows to EUR2 .8 m 9-mo '09 29 October 2009 - Finnish software and hardware developer Elektrobit Oyj HEL : EBG1V , or EB , said today that its net loss narrowed to EUR2 .8 m for the first nine months of 2009 from EUR35 .6 m for the same period a year ago ."
2,"The previously concluded adaptation measures , concerning other staff , were adequate for the time being , and the planning operations continue as before at the plant , the company said ."
1,Finnish food industry company L+Ænnen Tehtaat is planning changes to its fish product business .
1,The devices also contains Finnair 's own application for compiling customer feed-back and ideas for product development .
1,The sellers were EOSS Innovationsmanagement and a group of private individuals .
1,The German subsidiary will produce software development services for Ixonos Telecommunications Business Unit 's client projects .
1,Public services will also be available .
2,"After the reporting period , BioTie North American licensing partner Somaxon Pharmaceuticals announced positive results with nalmefene in a pilot Phase 2 clinical trial for smoking cessation ."
2,"Both operating profit and net sales for the 12-month period increased , respectively from EUR21 .5 m and EUR196 .1 m , as compared to 2005 ."
1,The bridge is part of the highway 14 development project .
2,"Previously , the company anticipated its operating profit to improve over the same period ."
1,Finnish logistics and information solutions provider Done Solutions Corporation ( OMX Helsinki : DSO1V ) reported on Wednesday ( 29 October ) an operating profit of EUR3 .6 m on net sales of EUR35 .1 m for the period January-September 2008 .
1,"Quartal Oy now owns 2,094,063 shares in Satama Interactive Plc , which represents 5,19 per cent of the share capital and voting rights ."
1,Image data produced by the browser at the phone server is converted into a bitmapped image that is sent to the handset for display . ''
1,"HKScan , headquartered in Turku , Finland , is a leading northern European food group with 10,000 employees in nine countries ."
1,"The reasons behind the estimate include the rise in 2008 rent levels and several fully-leased office and retail properties , which were completed and added to the company 's investment property portfolio ."
1,"Russian officials inspected the damage and gave the vessel permission to continue to Tallinn at around 4.30 a.m. The Norwegian-registered M-T Sten Nordic was carrying 11,000 tons of gas oil and was manned by a Filipino crew ."
2,"`` The acquisition of Sampo Bank makes strategic sense for DB , '' says Lindsey Liddell , director of Fitch Ratings 's Financial Institutions Group ."
2,"Raisio 's bid to buy Glisten is a `` win-win '' deal for both companies , the chairman of the UK snacks firm told just-food today 10 February ."
2,"`` This vessel order will help Aspo secure the long-term competitiveness of its fleet , both in terms of technology and pricing ."
2,"In Sweden , operating profit for the period under review totaled EUR 3.4 mn , up 30.8 % from the corresponding period in 2005 ."
1,"As part of the transaction , the +_+Ænekoski paper mill remained in M-real 's ownership and continued Galerie Art production for Sappi under a long-term contract ."
1,Metso Foundries Jyvaskyla Oy will discontinue production on this line by 30 September 2008 .
2,Net cash flow from operations is expected to remain positive .
1,"Outotec 's delivery covers the engineering , supply and construction of a circulating fluid bed calcination plant with a capacity of 1,600 tons of alumina per day ."
1,"Alma Media holds 70 % of this company , the remaining shares being owned by the company 's key employees ."
2,"MANAVIGATOR-September 7 , 2010-Kemira unveils Indian JV with IVRCL Finnish chemicals group Kemira ( HEL : KRA1V ) on Tuesday announced it has inked a deal to form a joint venture in India with local construction firm IVRCL Infrastructure and Projects Ltd ( BOM :530773 ) ."
1,The deal also includes a ten-year maintenance agreement .
2,"Via the takeover , Panostaja further expands its business area specialising in digital printing , which since previously consists of the subsidiaries Kopijyva Oy and Sokonet Oy ."
1,The potential acquirer is Cencorp Corporation which is a related entity to SAV owing to each of SAV and Cencorp being a subsidiary of the Finnish Savcor Group Oy .
1,"It operates under three distinct brands : United Supermarkets , Market Street and United Supermercado ."
1,The transaction included also the transfer of the lease agreement concerning manufacturing premises and employment agreements related to these operations .
2,"Ruukki Romania , the local arm of Finnish metal producer Ruukki , increased its capital by 900,000 euro ( $ 1.14 mln ) through cash contribution , it was reported on September 19 , 2006 ."
1,"At the beginning of the subscription period on May 2 , 2006 the share subscription price under B option right is EUR 10.22 per share ."
2,"`` Following last year 's good profit development , we have entered the current year in a good position ."
1,"The first phase of the logistics complex envisages the completion of some 70,000 sq m of logistics premises and the gatehouse building in November 2008 ."
0,Swedbank 's shares have been hardest hit of the Swedish banks by the ongoing international financial crisis .
1,"In February 2011 , new wording of Identity Documents Act that makes Mobile ID a state-approved electronic document as of February 1st 2011 entered into force ."
1,Net profit in the period in 2009 was ( EURO ) 29 million .
1,"Elcoteq Dongguan was established in 1999 in the Nancheng District of Dongguan , China and is one of Elcoteq s four volume manufacturing plants in the Asia-Pacific region ."
1,"Under the plan , which CSES worked out together with Public Policy Management Institute ( PPMI ) and other partners , buildings with a total area of 10,000 square meters should be built on the territory in the first phase ."
1,Russia wants to utilise its huge forest reserves in a very different way from what has been done so far .
2,Both loans will be used to finance strategic investments such as shopping center redevelopment projects and refinancing of maturing debt .
1,QPR ProcessGuide is available as a system solution with centralized storage and management of process content as well as a standalone desktop version ; QPR ProcessGuide Xpress .
1,Jacobs has been supporting Storengy 's investment of developing storage sites since 2006 as owner 's engineer .
1,facades in Riga 8 March 2010 - Finnish construction company YIT Oyj HEL : YTY1V said today that it will build the frame and the facades in a tower construction project in Riga .
1,The plant is expected to start production in the first half of 2007 .
1,Elisa has commissioned Finland 's Poyry Telecom Oy to conduct a study of reception in some of Estonia 's largest cities besides Tallinn .
1,"Paychex has more than 100 offices serving approximately 554,000 payroll clients nationwide as of May 31 , 2009 ."
1,The deliveries started in April 2006 and will be completed in 2007 .
0,Applying for summer work is seen as laborious and stressful .
1,"OVA Press has a 60 % stake in the joint venture , while IMSM holds a 40 % stake ."
2,"The stock is trading above both its MAPs and the 50-day MAP of SEK72 .983 is higher than the 200-day MAP of SEK70 .283 , a bullish indicator ."
0,"At this growth rate , paying off the national debt will be extremely painful ."
1,"With sales of $ 12.7 billion over the last twelve months ending October , 2010 and over 9,200 stores in 35 states , Dollar General is the nation 's largest small box discount retailer ."
2,Combining this deep domain expertise with our Application Service Management ASM and outsourcing service offerings has now proved to be a winning combination .
1,"Alpina Sports is a Lebanon , New Hampshire USA based distributor of e.g. Alpina ski shoes and skis , Exel ski poles , Start ski waxes and now also Peltonen cross-country skis ."
1,The subsidiary is setting up a facility for manufacturing high-density interconnection printed circuit boards or PCBs at Nokia 's special economic zone at Sriperumbudur near Chennai .
1,COPYRIGHT AFX News and AFX Financial News Logo are registered trademarks of AFX News Limited
1,"Simultaneously with this merger plan another merger plan has been signed , according to which Suomen Projektivuokraus Oy , a subsidiary of VTM-Rakennuskonevuokraamo Oy , would be merged with VTM-Rakennuskonevuokraamo Oy ."
1,"Currently , YIT builds a housing estate Zapadnye Vorota 26,000 square metres in the city and a house 9,910 square metres , which will be completed at the end of 2009 ."
1,The tool is a patent pending design that allows consumers to lay out their entire project on a removable plate using multiple clear stamps of any kind .
1,"As part of the reorganization , Kauko-Telko Ltd will be divided into Telko Ltd , Leipurin Ltd , Hamina Terminal Services Ltd and Kaukomarkkinat Ltd. ."
1,"The copying , republication or redistribution of AFX News Content , inculding by framing or similar means , is expressly prohibited without the prior written consent of AFX News ."
2,`` Demand for sports equipment was good in 2005 .
1,"+_lemiste City is the environment for a knowledge-based economy providing work for 3,300 people with the total turnover of its companies amounting to EEK 5.4 bn , '' said +_lo P+Ærnits , chairman of the supervisory board of +_lemiste City and Mainor ."
1,It posted a turnover of 4.5 mln euro $ 6.1 mln and an operating profit of 1.5 mln euro $ 2.0 mln for 2006 .
2,"Finland 's national carrier Finnair PLC carried a record 8.5 million passengers in 2005 , an increase of 4.5 percent on the previous year , the airline reported Tuesday ."
1,"Companies evaluated in the report include Aladdin , CA , F-Secure , Kaspersky , Marshal , McAfee , Microsoft , Panda , Proofpoint , Sophos , Symantec , Trend Micro , Tumbleweed , and Websense ."
0,"Tornio Works employs 2,300 of whom more than 1,800 have been in the scope of the fixed-period or part-time temporary layoffs in April-October period ."
1,"A total of 15,000 new Citycon shares with a nominal value of EUR 1.35 per share were subscribed between 17 and 23 March 2006 exercising the A-B-C options based on the company 's stock option plan 1999 ."
1,Finnish plumbing and heating systems supplier Uponor announced a company-wide cost reduction program in August 2008 .
0,"Operating profits in the half were  0.8 m , down from  0.9 m as Glisten invested in the brand and the management team ."
1,"s business sectors are building construction , infrastructure construction and technical building services ."
1,One of the headboxes will be equipped with a modern consistency control system to ensure cross machine profile of the plasterboard .
1,The board further said the company omitted to tender for a substantial part of the works and as such they had rightfully been found non-responsive by the evaluation team .
0,"In October , UPM reported a third-quarter net loss of euro86 million $ 110 million compared with a net profit of euro120 million in 2007 ."
1,"The prerequisite for inclusion in the program and for receipt of any gains is that key employees acquire Aspo shares to the amount determined by the Board in advance , in the maximum ."
1,"Helsinki 19 May 2010 - Finnish company Lemminkainen Oyj ( HEL : LEM1S ) said today that it will construct an office building at Toolonlahti in downtown Helsinki , without disclosing financial details ."
